region;period;sector;value;unit;value_pCap;unit_pCap
CHA;2010;trn_aviation_intl;221.7764;billion pkm/yr;162.073465621062;pkm/yr pCap
CHA;2010;trn_freight;6825.34909824865;billion tkm/yr;4987.94273162856;tkm/yr pCap
CHA;2010;trn_pass;8741.60154476198;billion pkm/yr;6388.33373360737;pkm/yr pCap
CHA;2010;trn_shipping_intl;12733.77;billion tkm/yr;9305.79734508048;tkm/yr pCap
CHA;2015;trn_aviation_intl;330.270063988148;billion pkm/yr;234.021862553233;pkm/yr pCap
CHA;2015;trn_freight;8070.07908596641;billion tkm/yr;5718.27466239121;tkm/yr pCap
CHA;2015;trn_pass;11731.1154769569;billion pkm/yr;8312.40185862873;pkm/yr pCap
CHA;2015;trn_shipping_intl;13144.6695377692;billion tkm/yr;9314.01414566564;tkm/yr pCap
CHA;2020;trn_aviation_intl;454.645939799264;billion pkm/yr;315.05275826901;pkm/yr pCap
CHA;2020;trn_freight;7848.22115468926;billion tkm/yr;5438.52590739457;tkm/yr pCap
CHA;2020;trn_pass;12299.3331316988;billion pkm/yr;8522.98126696571;pkm/yr pCap
CHA;2020;trn_shipping_intl;12785.6886972745;billion tkm/yr;8860.00761872804;tkm/yr pCap
CHA;2025;trn_aviation_intl;700.338936482514;billion pkm/yr;485.387003504039;pkm/yr pCap
CHA;2025;trn_freight;9318.84960132705;billion tkm/yr;6458.65629977847;tkm/yr pCap
CHA;2025;trn_pass;14944.5011163631;billion pkm/yr;10357.6514711108;pkm/yr pCap
CHA;2025;trn_shipping_intl;13803.2313780754;billion tkm/yr;9566.66660706824;tkm/yr pCap
CHA;2030;trn_aviation_intl;1020.39680297017;billion pkm/yr;711.502647085843;pkm/yr pCap
CHA;2030;trn_freight;10626.6115210548;billion tkm/yr;7409.72747540495;tkm/yr pCap
CHA;2030;trn_pass;16874.3699574223;billion pkm/yr;11766.1667085435;pkm/yr pCap
CHA;2030;trn_shipping_intl;14836.0116800661;billion tkm/yr;10344.8595211565;tkm/yr pCap
CHA;2035;trn_aviation_intl;1328.13627270749;billion pkm/yr;937.716519105092;pkm/yr pCap
CHA;2035;trn_freight;11717.9928368998;billion tkm/yr;8273.36447299644;tkm/yr pCap
CHA;2035;trn_pass;18753.0626506311;billion pkm/yr;13240.4008479199;pkm/yr pCap
CHA;2035;trn_shipping_intl;15504.613286291;billion tkm/yr;10946.8676518056;tkm/yr pCap
CHA;2040;trn_aviation_intl;1541.64618730863;billion pkm/yr;1106.95773861816;pkm/yr pCap
CHA;2040;trn_freight;12478.9174624168;billion tkm/yr;8960.31422016167;tkm/yr pCap
CHA;2040;trn_pass;20279.7108529682;billion pkm/yr;14561.5661041022;pkm/yr pCap
CHA;2040;trn_shipping_intl;15813.530362713;billion tkm/yr;11354.6869275096;tkm/yr pCap
CHA;2045;trn_aviation_intl;1684.49543137157;billion pkm/yr;1237.02595090908;pkm/yr pCap
CHA;2045;trn_freight;13094.9187858981;billion tkm/yr;9616.38367283265;tkm/yr pCap
CHA;2045;trn_pass;21726.8805358262;billion pkm/yr;15955.3505189589;pkm/yr pCap
CHA;2045;trn_shipping_intl;15920.5383848981;billion tkm/yr;11691.4054902051;tkm/yr pCap
CHA;2050;trn_aviation_intl;1738.62416418237;billion pkm/yr;1315.25486494135;pkm/yr pCap
CHA;2050;trn_freight;13620.1235091466;billion tkm/yr;10303.511291028;tkm/yr pCap
CHA;2050;trn_pass;22941.6763519936;billion pkm/yr;17355.189266025;pkm/yr pCap
CHA;2050;trn_shipping_intl;15872.071575386;billion tkm/yr;12007.0914613344;tkm/yr pCap
CHA;2055;trn_aviation_intl;1730.12596711963;billion pkm/yr;1359.19902380491;pkm/yr pCap
CHA;2055;trn_freight;13847.532781292;billion tkm/yr;10878.7183107675;tkm/yr pCap
CHA;2055;trn_pass;23485.1339375964;billion pkm/yr;18450.0849814142;pkm/yr pCap
CHA;2055;trn_shipping_intl;15622.2341190618;billion tkm/yr;12272.9360565758;tkm/yr pCap
CHA;2060;trn_aviation_intl;1677.77124414691;billion pkm/yr;1377.50450759933;pkm/yr pCap
CHA;2060;trn_freight;13890.0700535748;billion tkm/yr;11404.1971910172;tkm/yr pCap
CHA;2060;trn_pass;23573.4473112414;billion pkm/yr;19354.5634091502;pkm/yr pCap
